Intent,Duration(min),Websites,Start,Done,Learned,Actions
"Finish q7 with AI conceptual but not solving help","40","chatgpt.com","2025-05-05 15:16:22","Idk what the intention was","IDk","idk"
"read SLEEC N-NFR paper and write notes on 3 pages of it. Understand everything.","35","chatgpt.com,google.com","2025-05-06 09:06:19","nothing, payed attention to class","physics = too loud to take notes on other stuff during. taking RN notes is HARD ahh","solve problems during physics not take notes on other stuff"
"do 1 page of SLEEC paper into RN","15","google.com","2025-05-06 12:12:07","finished almost a page i Think?","notes are sooo slow to make!! speed up via?","keep going but go faster!!!!!!"
"note another page go go go go","7","google.com","2025-05-06 12:29:36","not a page. noted on WFI and thats it ate food","WFI",""
"work more on this","10","","2025-05-06 12:37:14","learning a bit about FOL","",""
"keep working for next 13 mins","13","","2025-05-06 12:47:47","eh","",""
"learn ASp","45","","2025-05-06 14:38:32","fuck all","maybe better to AI gen flashcards??","try now with paper"
"turn paper into AI gen RN doc","30","claude.ai","2025-05-06 15:41:30","","",""
"check calc A","10","","2025-05-07 09:29:35","almost done checking","checking answers with classmates is VERY important","check things in the future"
"finish last Q check","3","","2025-05-07 09:40:27","checked and submitted assignment","",""
"download windsurf","10","windsurf.com","2025-05-07 12:36:10","Download Windsurf","Windsurf > not windsurf?",""
"use windsurf to make this tool run on a luanch agent","10","","2025-05-07 12:47:04"," fuck all ahhhhhhhhh fuck fuck fuck fuck","EVERYONE NEEDS TO SHUT THE FUCK UP GODDAM JESUS CHIRST THEY ARE SO LOUD!!!!",""
"read LW and be sad","","","2025-05-07 14:39:37","","",""
"Break","20",".","2025-05-07 14:39:50","nah","",""
"use windsurf to make this app into a launch agent, make the reflections peice say what the intention was, add if you say extend it just extends it by howdver many mins you say","20","","2025-05-07 15:43:24","done everything!","windsurf is soooo good! Way better than cursor","use it for more coding stuff. build an ASP thing with it"
"study","100","","2025-05-07 19:12:42","studied, called A, wasted a bunch of time with Eleanor","some quantum. Spaced Repition is VERY important! Without it you are a general conquering the sdame hill over and over","Use Gemini to rewrite bad cards, set out time to rev each day"
"read Aurora and relax","65","comicaurora.com","2025-05-08 11:53:34","read aurora","maybe nap instead. need alon a nd leisure time","sleep during spre"
"Finish reading Marsha's paper","67","","2025-05-09 09:23:26","read it but didn't learn much, read LW a lot ;(","Reading lesswrong is a waste of time without taking notes. I need to get a GTG framework going","Research GTG and note"
"build flashcard creation website with windsurf","30","","2025-05-09 10:33:57","built v1 got it all working!","Music >>> during noisy classes. Windsurf is SO GOOD","Wear headphoes and listen to music more!!"
"Finish flashcard creation website. Add link support and be done?","72","","2025-05-09 11:53:19","added quizlet and RemNote options, made formatting nice. Looked at quizlet they have a flashcard generator too and its fine but they dont do SR","Just use quizlet flashcard generator?","idk"
"finish and submit website","105",".","2025-05-09 14:35:27","done!","",""
"play diep.do","10","diep.io","2025-05-09 16:52:18","","",""
"make reverse rottating sandwitches .com","60","","2025-05-09 17:02:51","made a lot of proggress","",""
"help bela with chatGPT","30","","2025-05-09 19:38:42","Eh","ChatGPT can analysie data but not make google docs",""
"finihs reverse rotating sandwitches","20","*.*","2025-05-09 20:35:34","nothing really","",""
"Publish RRS and send it to Eleanor => get charger","5","netlify.com","2025-05-10 12:16:10","Published RRS","Netlify is soooo good!!","Use it more. Make more sites?"
"get charger","5","","2025-05-10 12:21:57","got charger, read email a bit","",""
"finish email","6","","2025-05-10 12:27:22","got distracted by instagram. blocked it","IG and other social media are SOO hard to tear yourself aweay from oh my god","KEEP THEM BLOCKED"
"read my chapter of Ullysis","45","","2025-05-10 12:42:35","Not that","ugh aurora is distracting but soo good",""
"read auroroa","105","","2025-05-10 13:33:41","finished it","aurora is a big time sink sad emoji","block it"
"read chapter","65","","2025-05-10 17:02:22","done reading it","Anna's archive has like every book!","use Anna's archive when I want a book"
"Read commetaries on my chapter","150","","2025-05-10 18:10:45","done also got distrcted by lesswrong and other stuff. Hmm.","NEED distractions blocked!!","clear CT exeptions list"
"order notebook","10","amazon.ca","2025-05-10 21:10:16","looked up, decided just to buy in person tmr after haircut at eaton center indigo. ","need sleep!!!!","go to sleep"
"work on englishe essay","40","google.com,claude.ai,chatgpt.com","2025-05-11 13:29:32","did finances with dad, made mothers day card","openmat hasnt been charging me!!","tell them tommorow!"
"work on english essay - get just the notes bit of the text?","35","","2025-05-11 14:22:40","done","","LW is soo distracting => schedual block it and lock it for some amount of the day?"
"ai make essay","25","","2025-05-11 15:42:22","nah but got text of actual chapter","",""
"copy essays","7","*.*","2025-05-11 16:40:26","done","",""
"go to sleep?","0","","2025-05-11 23:00:52","UGHHHHHHH READ Eliazer HYiedzwso or whatever his name is Harry potter logic fanfic thing it is SO GOOD OH MY GOD then my computer turned off I just wanna keep reading it frown ugh ugh oh wait I can lol use windsurf??","",""
"use windsurf to get the html for this page and read it","40","","2025-05-11 23:02:37","yeah did it and stayed up until fucking 2 am ahhhhhhhhhhhhhh","think hard and learn things! read books! make notes! review notes! make this app block everything else/be fullscreen so you have to answer it","make this app fullscreen/block everything else"
"make this app fullscreen/block everything else","30","","2025-05-12 02:24:32","no simple way","",""
"read HPMOC","20","","2025-05-12 02:55:32","did it till 3 goddam AM. That is my bad","I should buy that premium CTB key","do i t now"
"buy CTB key","20","*.*","2025-05-12 08:45:18","did that, schedualed blocks, blocked LW this is great!!","Pay for what you need","idk what else i need"
"respond to SLEEC groupchat","3","","2025-05-12 09:06:27","sent","kind regards is a good email sign off",""
"write ulysses essay with gemini run it till it doesnt sound AI","30","","2025-05-12 09:45:36","Almost there. Probably smart now to turn it into a speach outline and print it and print pictures?","",""
"5 more mins on essay","5","","2025-05-12 10:17:04","done now its big enough just needs to be edited down by AI ","",""
"make page numbers right, then make into an outline, then print, then run","66","","2025-05-12 10:23:01","did it","",""
"count tim box money","18","","2025-05-12 14:52:33","done and payed self - remember to add receipt!","",""
"buy cams for stuco","25","","2025-05-12 15:11:28","found some options, none super great. build by self?","",""
"read email","10","","2025-05-12 15:37:42","done","reading cool thing about how you should use LLMs through the API where you can set the system prompt and such","build new UI where you can pick the model, set the system prompt and all that."
"test CTB","3","","2025-05-12 21:37:34","it works but just force quites the apps - that is bad","",""
"get ASP examples","10","","2025-05-13 09:14:15","got distracted by ""minmaxer.com"" blog about AI prompting effects","promising GPT 3.5 money was effective ish at imporvig adherance to output length",""
"read blog more ","10","","2025-05-13 09:25:31","did it","",""
"get Clingo python docs","30","","2025-05-13 09:35:55","got em kinda also worked on figuring out system input and outputs","",""
"define MVP system","20","","2025-05-13 10:07:17","did that. now building it","",""
"turn docs into text files to give to WS","35","","2025-05-13 10:27:54","maybe done?","",""
"work on ASP thing in background while taking notes","60","","2025-05-13 11:09:21","yeah did it","",""
"finish ASP thing","30","","2025-05-13 12:45:20","not done","maybe better to work on smaller scope of project?",""
"work on ASP for 30 mins. If not done restart with smaller project","35","","2025-05-13 14:36:54","its going pretty good I think?","",""
"work on ASP. Update it with the stuff I just learnt?","40","","2025-05-13 15:13:50","almost done both option??","",""
"SLEEC DSL call","80","","2025-05-13 15:54:37","did the call","DO NOT JUST AI A SOFTWARE IF YOU ARE GOING TO BE ASKED TO EXPLAIN IT! System desgine is key! Make a smart plan, build the test for one peice, build the peice, refactor, repeat. System desgine is KEY = use o3. Coding = use 3.7/o4-high. Next thing to do is to build a SLEEC DSL to ASP converter",""
"finish law treaty thing","28","","2025-05-14 09:27:24","done","o4 does a pretty good job of research, but looking at the source for basic things like this is just as fast",""
"finish bio lab","45","","2025-05-14 09:57:29","done!","",""
"play UTTT v mr Brandys","20\","","2025-05-14 10:43:18","","",""
"play UTT","20","","2025-05-14 10:44:21","did that","",""
"play sans fight","40","","2025-05-14 12:36:58","did that (mostly eleanor and brady did that)","",""
"work on english essay. o1 pro to get quotes, 4.5 to write it?","30","","2025-05-14 14:03:25","didnt even start. Read incremental reqding supermemo article - that is smart maybe?","incremental reading = SR but for reading. Each time you break the thing down into the key bits and then those key bits into cloze deletions / cards","read things with it! Dont even read them normally"
"do essay o4 to make quotes 4.5 to write essay","45","","2025-05-14 15:20:08","not done frown","",""
"edit CTB to block after 8 pm","6","","2025-05-14 19:20:56","did it","",""
"text analiese for it ","5","","2025-05-15 10:52:18","done","need to charge computer over night","plug charger in in office next to phone charger"
"Select GTD system","45","","2025-05-15 10:58:22","Intend.do + beeminder + task decomposition thing + calandar + write intigrations to make it all seemless","I need to start on that i think","install intend.do. Just start!"
"build UTTT agent - desgine with o3, build with windsurf","30","","2025-05-15 11:44:52","researched what other people had made - this project is kinda solved? Maybe train try an agent which can SMOKE the github implimentation ","if you have an idea, it has already been made probably - look for others who have done similar work",""
"install intend.do","75","","2025-05-15 15:11:48","did it and its great!","Setting long term intentions is KEY",""
"finish and submit bio essay?","50","","2025-05-15 16:27:39","email self flex texbooks","",""
"inten d.do","17","","2025-05-16 07:59:31","did review","I dont think this thing is logging my stuff => get tit logging","check if logs are working now"
"expand flashcard pipeline to work with many docs","60","","2025-05-16 09:29:06","Note making pipeline works!!!!","USE GIT","git it now!"
"get RemNote intigration working","0","","2025-05-16 10:42:02","Remnote cant read files frown. Solution: compile all .txt files into one and copy paste it. ","This needs to recenter after 2 mins","edit it to recenter after 2 mins"
"edit script to make one big txt file","11","","2025-05-16 10:43:12","one sec","",""
"sleepy","20","","2025-05-16 15:07:30","talked with Andrew about AI art","",""
"indend.do","15","","2025-05-17 10:00:28","did daily review and intetions for day","",""
"Now working on editing bio essay","60","","2025-05-17 10:17:07","edited a bit. Now just need to add citations","",""
"add citations to bio essay","60","","2025-05-17 11:17:43","Added citations","AI can do it and can be trusted and can be used even better if you run it through a 'watcher' and say 'check for lies or innacuracies'","build automatic system which does that?"
"edit and then submit bio essay","20","","2025-05-17 12:19:15","Almost done editing","Editing is hard and things take focus ugh",""
"finish editing","30","","2025-05-17 12:41:20","got doodes to help edit he did a good job","",""
"eaf","30","","2025-05-17 13:11:58","submited bio essay! Got dad to read over it mark 15/16 critiques: conclusion just restated everything, define sceintific terms.","I work best when sitting at a desk. Sitting on a couch =. no work done","Work at tables only. In the future intigrate citations dircetly into the writting (eg perplexity, deep research)"
"make flashcards","115","","2025-05-17 20:13:33","DONE!!!!! Made a system to test all the prompts in a prompts.md file and display them in an html page and run the through gemini and ask it which ones were best, and highlight those ones green. Then made a shit ton of prompts with Gemini and chat GPT. It seemed like the best ones were alsways the ones which were about exams AND the ones that asked conceptiual/appkication/critical thinking questions. Used Gemini to write a mega prompt with the best bits of all the others. Made cards for cacl, physics and bio. Now time to send them to the GC. Sleep heart!","Evals are key. The whole system I built to run the many prompts for the same image was kinda useless. I ended up just putting all the prompts into 2.5 pro and asking it to identify the best ones and make a mega prompt. I think prompt is not that important and you reach 80/20 VERY FAST. Smarter in the future to just AI gen a big list and then get it to refine. Hmm. Also parralization = HUGE speedups that is a super key one run things in parralell!!!!!! That's super key. OOh also bonus thing I got done updated intention tool stats thing with a 2.0 flash call which wrties up a report on the key things you have learnt and should do based on the sved csv","sleep soon"
"intend.do","35","","2025-05-18 09:25:53","got distracted trying to set up website flashgen.ink as the new URL ugh its hard need to get AI help. Then did daily, weekly rev in Intend+set intentions now setting up workflowy","for AI, give them all the instructions up front!!!!! if I want to finish things I need to be sitting at a desk",""
"set up workflowy, then go accross","20","","2025-05-18 10:02:50","Set it up now filing it in. Maybe the extend button is bad?","Workflowy is super cool! Just with the sessionID of a thing Intend can edit my workflowy which is wild I need to learn more about session ID","ask chatGPT about session ID soon ish"
"finish putting work in Workflowy, then go accross","15","","2025-05-18 10:24:17","did it now going accrossvto get meds, then come back go to the washroom and put on creams then move then study RemNote cards on phone outside","Workflowy is sooo good!!!! It is similar to RemNote in stye actually - I feel like RemNote was inspired by it. Also trying Roam would be a good thing?","Try roam at some point soon, write blog ppost about tech stack - start a blog!"
"check intend","5","","2025-05-18 16:37:30","Did it! I love intend","roam is cool start using it?","use roam at some point?"
"Edit and resub bio essay","45","","2025-05-18 16:43:12","Done! Editied and resubmit","AI takes a few tries to make what I want",""
"test out anthropic dev consol","15","","2025-05-18 17:38:00","its good!! Way better than just using claude maybe?","Giving claude a role DRASTIClY imporves performance. DO that more! (in the system prompt!)","use anthropic dev consol for writing englishe essay?"
"research cost comparision of OpenAI vs claude and subscription vs buying credits","30","","2025-05-18 18:00:12","did that also looked at Zed the code editor - it looks super cool and fast but not for me yet I feel","Zed is a cool editor",""
"Keep comparing costs - current plan is cancel sub, use dev consols","30","","2025-05-18 18:31:14","compared them - biggest cost is voice mode and images - either use that more or switch? ","voice mode = $$$$$","use it more - research voice mode uses"
"do a bit more research","50","","2025-05-18 21:24:50","","",""
"intend.do","15","","2025-05-19 09:46:11","did that","it is so so good. Such an exeptional tool","Recomend it to others!"
"RemNote review","90","","2025-05-19 10:01:51","did it","",""
"intend.do","30","","2025-05-20 09:47:18","Did intentions, watched OpenAI Codex Demo","HOLY FUCKING SHIT CODEX IS INSANE!!!! What it does: Give the AI a task on your repo it goes off and does it with a VERY high success rate off in a machine on the cloud and then gives you the code to review in a PR. And you can run many of them in parrallel!!!!!! And the agent is wicked smart. Hmm maybe I will start using that soon. ","USE GIT FOR ALL PROJECTS!!!!! Keep an eye on Codex - when it comes to Plus users - get it!!"
"keep watching demo, then update Workflowy (WFY) then do cards","10","","2025-05-20 10:23:01","Finished demo","AHhhhhh Codex is so insane. Also future direction of Coding = you can work on the thing on your machine, hand it off to AI on another machine and be seameless. ","Update windsuf, start really using git"
"RN cards 40 mins","40","","2025-05-20 10:36:30","Did cards","They should add AI enhancer for inline edits of cards","request it?"
"get windsurf runing","10","","2025-05-20 12:40:39","got it working","",""
